area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,46230
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,,1140,2,2,32085
Plot  Area,Ready To Move,Srirampura,5 Bedroom,,1200,5,2,124200
Super built-up  Area,18-Dec,Kodathi,2 BHK,,850,2,2,18630
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2,2,51750
Built-up  Area,Ready To Move,Munnekollal,2 BHK,,1170,2,2,35880
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2,1,35190
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,2,1,57332.1
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,44850
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1200,2,2,88320
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,,1200,4,3,113850
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,286350
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,2400,4,1,276000
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,38640
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,2,2,37950
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2,2,35880
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2,1,37950
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3,2,65550
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,,1000,2,1,46230
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,2650,4,2,136620
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2,2,51060
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3,2,148350
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2,1,40020
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2,2,31050
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6,2,158700
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3,3,44160
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,,1200,2,0,54510
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,,1230,2,3,33120
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2,2,27600
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2,2,52440
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,1,103500
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,,,14855.7
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1200,2,2,44850
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,,1350,2,0,96600
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,3,1,34058.4
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3,0,103500
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11,3,2,51060
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2,1,29842.5
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,2,1,53130
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,3,2,51750
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2,3,39330
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1,1,19561.5
Plot  Area,Ready To Move,RMV,3 Bedroom,,2000,3,2,251850
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,,1762,3,1,86250
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,,950,2,2,34500
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5,3,231150
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2,1,34500
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2,2,61437.6
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,,1200,3,0,62100
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,,1500,4,2,158700
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,,500,1,1,12765
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2,1,35880
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,1,0,8045.4
Built-up  Area,Ready To Move,Bellandur,2 BHK,,1205,2,3,45540
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2,2,41400
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2,2,26910
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,2,1,41400
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5,2,146280
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166,2,2,37950
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2,1,44850
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3,2,189750
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,32292
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600,2,1,74520
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935,3,2,75900
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,1,0,20631
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,3,2,65550
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,3,0,53130
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3,2,79350
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451,2,,62100
Plot  Area,19-Jan,Anekal,2 Bedroom,,1200,1,1,24840
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,30360
Built-up  Area,Ready To Move,Kengeri,2 BHK,,1000,2,1,17250
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,27600
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,,1629,3,2,54510
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1580,2,0,92460
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3,2,83490
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2,1,64860
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2,2,31595.1
Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2,1,22770
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,3,3,74520
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2,2,36570
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2,1,40020
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2,1,22080
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,2,2,37950
Super built-up  Area,Ready To Move,K N Extension,6 BHK,,700,3,,82800
Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2,1,82800
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3,1,31050
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,3,2,111090
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,4,1,158700
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,,1200,2,1,44850
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,,1200,4,1,120750
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2,1,56580
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,,1000,2,0,113850
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,1200,2,0,86250
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,282900
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,,12000,6,3,1518000
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,,550,1,1,42780
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185,2,,26220
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2,1,26220
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,,1200,7,3,172500
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,44505
Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760,3,2,60720
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125,2,2,42780
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,1350,3,2,103500
Plot  Area,17-Dec,Anandapura,2 Bedroom,,1000,2,1,37950
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,,1090,2,2,21721.2
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,1200,2,0,41400
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4,2,71070
Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060,2,1,18285
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2,1,51750
Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,2,2,46230
Plot  Area,Ready To Move,Chandapura,6 Bedroom,,1533,5,3,58650
Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,3,2,54510
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2,2,37950
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2,1,37950
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,3,2,96600
Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194,2,0,47610
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150,2,3,47610
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1240,2,2,32512.8
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2,2,33189
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,,1200,8,,172500
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,4,,165600
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,3,2,37950
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630,3,2,47120.1
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,1,1,27600
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,,1000,4,3,75900
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,11890,4,3,483000
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2,1,52440
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2,1,65550
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1670,2,3,39330
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3,2,69000
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,48990
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,2,2,65550
Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1,1,23908.5
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3,2,93150
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,1650,3,2,53820
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,1,38274.3
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3,2,173880
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,51080.7
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,,1200,4,2,138000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,2,2,37950
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309,4,3,224250
Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2,2,20941.5
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,3,2,67620
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,950,2,1,32402.4
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9,3,248400
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,3,0,82800
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2,1,24308.7
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850,2,1,20700
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1020,2,2,43470
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1100,2,2,34500
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2,2,86940
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2,2,89700
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,,1800,3,3,75900
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1070,2,1,37260
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1500,4,2,151800
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1440,2,0,65550
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900,2,1,27600
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,,1200,4,1,158700
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,2,1,29090.4
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2,1,113850
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,,1270,2,1,67620
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200,2,1,42780
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,,4800,4,,162150
Super built-up  Area,Ready To Move,NS Palya,2 BHK,,1200,2,1,51060
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,0,34617.3
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150,4,2,179400
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,,1125,4,3,124200
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,,500,3,2,44850
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5,2,131100
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3,2,38640
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,,3600,4,3,276000
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,,2000,4,2,68310
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1208,2,1,33810
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130,2,2,41400
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753,3,2,82800
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,4500,7,3,232530
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,,600,3,2,40020
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1196,2,2,65149.8
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150,3,3,36225
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,43470
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000,2,1,36570
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035,2,1,31050
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,,950,2,1,22080
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,24840
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040,2,1,33465
Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,,720,2,1,31050
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511,3,1,65550
Built-up  Area,Ready To Move,Silk Board,3 BHK,,1300,3,1,40020
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1545,3,1,47437.5
Built-up  Area,Ready To Move,Shampura,1 BHK,,375,2,0,17940
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1062,2,3,26220
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,,1115,2,1,27600
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSvvyx ,1000,2,1,24150
Super built-up  Area,17-May,Kambipura,2 BHK,Prrtht ,883,2,1,31050
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195,2,1,48300
Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,,1200,3,1,113850
Built-up  Area,Ready To Move,Medahalli,1 Bedroom,,700,1,0,28290
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,46230
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,,660,4,2,62100
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,8500,4,2,100050
Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,,1600,4,1,55200
Super built-up  Area,18-Dec,Haralur Road,4 BHK,SNnia E,2805,5,3,106260
Super built-up  Area,Ready To Move,Begur Road,3 BHK,,1584,3,,44850
Plot  Area,Ready To Move,Sector 7 HSR Layout,4 Bedroom,,3000,5,1,189750
Built-up  Area,Ready To Move,Hosur Road,3 BHK,,1175,2,2,33120
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,,1595,3,2,79350
Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,OlarkLa,1353,2,2,75900
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3,2,86250
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150,2,1,48300
Super built-up  Area,17-Dec,Jakkur,4 BHK,Lecco C,5230,6,1,320850
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Jahidva,1155,2,2,29490.6
Built-up  Area,Ready To Move,Ittamadu,1 BHK,,1200,2,0,58650
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,,1000,2,1,17250
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,,3000,4,,82800
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,PuoodSk,1867,3,1,110400
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251,2,1,32430
Super built-up  Area,18-Apr,Gattahalli,2 BHK,Arano M,1028,2,1,31395
Super built-up  Area,Ready To Move,Arekere,2 BHK,Amngsag,1222,2,2,31050
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1170,2,1,45540
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2400,4,1,169050
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,,1385,2,2,33451.2
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2,1,46920
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Bilya A,1282,2,2,33810
Super built-up  Area,Ready To Move,Mico Layout,9 BHK,Amsomun,5000,9,3,144900
Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,,3000,3,1,364320
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1135,2,1,27413.7
Built-up  Area,20-Dec,Whitefield,3 BHK,,1768,3,2,69690
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Foconna,1325,2,1,62100
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3,2,68310
Plot  Area,18-Mar,Whitefield,3 Bedroom,,1500,3,1,42745.5
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,,2610,3,0,344310
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1286,2,2,43470
Built-up  Area,Ready To Move,Kammanahalli,5 BHK,,2845,5,1,96600
Super built-up  Area,Ready To Move,K G Colony,3 BHK,Aincy R,1600,2,,34500
Super built-up  Area,18-Sep,Hennur Road,2 BHK,Shxorm ,1195 - 1440,2,0,44001.3
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450,5,2,179400
Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,1102,2,2,37032.3
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Sahanra,1350,2,2,37260
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1200,2,2,28980
Plot  Area,Ready To Move,Hosa Road,6 Bedroom,,1300,6,0,100050
Plot  Area,Ready To Move,Herohalli,2 Bedroom,,1800,1,1,55200
Built-up  Area,Ready To Move,Chikkabanavar,2 BHK,,950,2,1,27600
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,18802.5
Built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656,2,1,17250
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,1780,4,3,120750
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1056,2,1,55200
Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,Hiatei ,595,1,1,22990.8
Built-up  Area,Ready To Move,Ittamadu,2 BHK,,1080,2,2,34500
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,2225,3,1,110400
Super built-up  Area,18-Aug,Bommasandra,2 BHK,DSoodil,1126,2,1,19423.5
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3,1,57960
Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,,2000,4,1,207000
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PuineSu,1550,3,3,69000
Super built-up  Area,Ready To Move,,3 BHK,Grare S,1600,3,2,59340
Built-up  Area,Ready To Move,Ashwini layout,2 BHK,,1160,2,1,37950
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,4144,4,3,217350
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Supleon,2100,3,2,86250
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,47817
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,LGestbo,2230,4,3,155250
Super built-up  Area,Ready To Move,Marathalli bridge,3 BHK,,1544,3,,82800
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2,1,40503
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aahts H,1230,2,2,55200
Plot  Area,Ready To Move,T.C PALYA,2 Bedroom,,1200,2,0,44850
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1460,3,1,50370
Plot  Area,Immediate Possession,Sarjapur  Road,,Asiss B,1200 - 2400,,,23587.65
Built-up  Area,Ready To Move,Gottigere,2 BHK,,967,2,3,31050
Built-up  Area,Ready To Move,Byatarayanapura,1 Bedroom,,540,1,1,24840
Super built-up  Area,19-Dec,Hormavu,1 BHK,Kolisl ,715,1,2,31740
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Toindls,2500,3,2,215970
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1578,3,1,124200
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1020,2,1,33775.5
Super built-up  Area,Ready To Move,Jigani,2 BHK,i1odsne,1020,2,1,27600
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ansna K,1253,2,1,70380
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,1180,2,2,28980
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,Veyalin,961,2,2,26220
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1419,3,3,51750
Super built-up  Area,Ready To Move,Harlur,3 BHK,SomonCi,1709,3,2,103500
Plot  Area,Ready To Move,Papareddipalya,2 Bedroom,,1600,2,0,79350
Super built-up  Area,18-Jul,Venkatapura,1 BHK,,416,1,1,12765
Carpet  Area,Ready To Move,Sanjay nagar,2 BHK,,1100,2,2,67620
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,,1430,2,1,44850
Super built-up  Area,Ready To Move,Sneha Colony,2 BHK,Daill S,1260,2,2,31050
Built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1630,3,2,58650
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,Soini T,1249,3,2,30849.9
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450,2,3,58650
Super built-up  Area,17-Nov,Konanakunte,3 BHK,Prasa W,2791,3,1,153870
Super built-up  Area,Ready To Move,Hosapalya,1 BHK,,600,1,0,62100
Built-up  Area,Ready To Move,Ashwini layout,1 BHK,Kaantth,834,1,1,41400
Plot  Area,Ready To Move,Doddagubbi,3 Bedroom,,1125,4,1,48300
Super built-up  Area,Ready To Move,Arekere,3 BHK,,2060,3,2,96600
Super built-up  Area,19-Jan,Malleshwaram,7 BHK,,12000,7,3,1518000
Built-up  Area,Ready To Move,Gottigere,2 BHK,Drente ,891,2,1,17250
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1133,2,1,33858.3
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,25530
Super built-up  Area,18-May,Sector 6 HSR Layout,4 BHK,,3000,5,2,179400
Plot  Area,Ready To Move,Brookefield,4 Bedroom,,2440,5,2,293250
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1200,2,2,37950
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1075,2,2,31602
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1140,2,2,27600
